Training Accuracy,Testing Accuracy
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
,,Training Accuracy,Testing Accuracy
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
,,Training Accuracy,Testing Accuracy
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
,,Training Accuracy,Testing Accuracy
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
,,Training Accuracy,Testing Accuracy
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
43.46733668341709,22.807017543859647
,,
